,x,y,angle,dist,drift,xp,yp,x_drift,y_drift
157,132,57,22.619864948,13.0,8.48528137424,126,51,-6.0,-6.0
158,128,56,-165.963756532,4.12310562562,17.0880074906,144,62,16.0,6.0
159,147,62,17.5255683737,19.9248588452,24.0416305603,124,55,-23.0,-7.0
160,149,64,45.0,2.82842712475,17.4642491966,166,68,17.0,4.0
161,157,64,0.0,8.0,6.32455532034,151,66,-6.0,2.0
162,165,72,45.0,11.313708499,8.0,165,64,0.0,-8.0
163,167,71,-26.5650511771,2.2360679775,10.8166538264,173,80,6.0,9.0
164,176,77,33.690067526,10.8166538264,9.89949493661,169,70,-7.0,-7.0
165,183,82,35.537677792,8.60232526704,2.2360679775,185,83,2.0,1.0
166,190,86,29.7448812969,8.0622577483,1.0,190,87,0.0,1.0
167,196,91,39.8055710923,7.81024967591,1.41421356237,197,90,1.0,-1.0
168,200,99,63.4349488229,8.94427191,3.60555127546,202,96,2.0,-3.0
169,206,102,26.5650511771,6.7082039325,5.38516480713,204,107,-2.0,5.0
170,210,111,66.0375110254,9.8488578018,6.32455532034,212,105,2.0,-6.0
171,210,119,90.0,8.0,4.12310562562,214,120,4.0,1.0
172,212,123,63.4349488229,4.472135955,4.472135955,210,127,-2.0,4.0
173,214,130,74.0546040991,7.28010988928,3.0,214,127,0.0,-3.0
174,214,133,90.0,3.0,4.472135955,216,137,2.0,4.0
175,215,139,80.537677792,6.0827625303,3.16227766017,214,136,-1.0,-3.0
176,215,144,90.0,5.0,1.41421356237,216,145,1.0,1.0
177,215,154,90.0,10.0,5.0,215,149,0.0,-5.0
178,213,160,108.434948823,6.32455532034,4.472135955,215,164,2.0,4.0
179,211,168,104.036243468,8.24621125124,2.0,211,166,0.0,-2.0
180,209,178,101.309932474,10.1980390272,2.0,209,176,0.0,-2.0
181,209,178,0.0,0.0,10.1980390272,207,188,-2.0,10.0
182,204,195,106.389540334,17.7200451467,17.7200451467,209,178,5.0,-17.0
183,207,199,53.1301023542,5.0,15.2643375225,199,212,-8.0,13.0
184,205,205,108.434948823,6.32455532034,5.38516480713,210,203,5.0,-2.0
185,206,216,84.8055710923,11.0453610172,5.83095189485,203,211,-3.0,-5.0
186,204,221,111.801409486,5.38516480713,6.7082039325,207,227,3.0,6.0
187,203,231,95.7105931375,10.0498756211,5.09901951359,202,226,-1.0,-5.0
188,204,240,83.6598082541,9.05538513814,2.2360679775,202,241,-2.0,1.0
189,203,241,135.0,1.41421356237,8.24621125124,205,249,2.0,8.0
190,203,254,90.0,13.0,12.0415945788,202,242,-1.0,-12.0
191,204,255,45.0,1.41421356237,12.0415945788,203,267,-1.0,12.0
192,205,261,80.537677792,6.0827625303,5.0,205,256,0.0,-5.0
193,205,270,90.0,9.0,3.16227766017,206,267,1.0,-3.0
194,206,275,78.690067526,5.09901951359,4.12310562562,205,279,-1.0,4.0
195,207,281,80.537677792,6.0827625303,1.0,207,280,0.0,-1.0
196,207,289,90.0,8.0,2.2360679775,208,287,1.0,-2.0
197,208,294,78.690067526,5.09901951359,3.16227766017,207,297,-1.0,3.0
198,209,306,85.2363583093,12.0415945788,7.0,209,299,0.0,-7.0
199,207,307,153.434948823,2.2360679775,11.401754251,210,318,3.0,11.0
200,212,312,45.0,7.07106781187,8.0622577483,205,308,-7.0,-4.0
201,206,306,-135.0,8.48528137424,15.5563491861,217,317,11.0,11.0
202,212,305,-9.46232220803,6.0827625303,13.0,200,300,-12.0,-5.0
203,211,304,-135.0,1.41421356237,7.0,218,304,7.0,0.0
204,214,305,18.4349488229,3.16227766017,4.472135955,210,303,-4.0,-2.0
205,221,308,23.1985905136,7.61577310586,4.472135955,217,306,-4.0,-2.0
206,225,309,14.0362434679,4.12310562562,3.60555127546,228,311,3.0,2.0
207,232,312,23.1985905136,7.61577310586,3.60555127546,229,310,-3.0,-2.0
208,236,314,26.5650511771,4.472135955,3.16227766017,239,315,3.0,1.0
209,241,317,30.9637565321,5.83095189485,1.41421356237,240,316,-1.0,-1.0
210,247,316,-9.46232220803,6.0827625303,4.12310562562,246,320,-1.0,4.0
211,251,316,0.0,4.0,2.2360679775,253,315,2.0,-1.0
212,255,315,-14.0362434679,4.12310562562,1.0,255,316,0.0,1.0
213,262,310,-35.537677792,8.60232526704,5.0,259,314,-3.0,4.0
214,261,309,-135.0,1.41421356237,8.94427191,269,305,8.0,-4.0
215,270,308,-6.34019174591,9.05538513814,10.0,260,308,-10.0,0.0
216,272,303,-68.1985905136,5.38516480713,8.0622577483,279,307,7.0,4.0
217,283,299,-19.9831065219,11.7046999107,9.05538513814,274,298,-9.0,-1.0
218,288,295,-38.6598082541,6.40312423743,6.0,294,295,6.0,0.0
219,294,287,-53.1301023542,10.0,4.12310562562,293,291,-1.0,4.0
220,299,285,-21.8014094864,5.38516480713,6.0827625303,300,279,1.0,-6.0
221,303,280,-51.3401917459,6.40312423743,3.16227766017,304,283,1.0,3.0
222,315,267,-47.2906100426,17.691806013,11.313708499,307,275,-8.0,8.0
223,316,267,0.0,1.0,17.0293863659,327,254,11.0,-13.0
224,322,260,-49.398705355,9.21954445729,8.60232526704,317,267,-5.0,7.0
225,325,256,-53.1301023542,5.0,4.24264068712,328,253,3.0,-3.0
226,330,251,-45.0,7.07106781187,2.2360679775,328,252,-2.0,1.0
227,339,239,-53.1301023542,15.0,8.0622577483,335,246,-4.0,7.0
228,344,235,-38.6598082541,6.40312423743,8.94427191,348,227,4.0,-8.0
229,349,227,-57.9946167919,9.43398113206,4.0,349,231,0.0,4.0
230,354,220,-54.462322208,8.60232526704,1.0,354,219,0.0,-1.0
231,358,215,-51.3401917459,6.40312423743,2.2360679775,359,213,1.0,-2.0
232,367,207,-41.6335393366,12.0415945788,5.83095189485,362,210,-5.0,3.0
233,372,202,-45.0,7.07106781187,5.0,376,199,4.0,-3.0
234,377,195,-54.462322208,8.60232526704,2.0,377,197,0.0,2.0
235,382,186,-60.9453959009,10.295630141,2.0,382,188,0.0,2.0
236,387,181,-45.0,7.07106781187,4.0,387,177,0.0,-4.0
237,392,178,-30.9637565321,5.83095189485,2.0,392,176,0.0,-2.0
238,398,170,-53.1301023542,10.0,5.09901951359,397,175,-1.0,5.0
239,403,161,-60.9453959009,10.295630141,1.41421356237,404,162,1.0,1.0
240,405,160,-26.5650511771,2.2360679775,8.54400374532,408,152,3.0,-8.0
241,409,155,-51.3401917459,6.40312423743,4.472135955,407,159,-2.0,4.0
242,419,147,-38.6598082541,12.8062484749,6.7082039325,413,150,-6.0,3.0
243,425,132,-68.1985905136,16.1554944214,8.0622577483,429,139,4.0,7.0
244,421,138,123.690067526,7.21110255093,23.2594066992,431,117,10.0,-21.0
245,434,125,-45.0,18.3847763109,25.495097568,417,144,-17.0,19.0
246,440,116,-56.309932474,10.8166538264,8.0622577483,447,112,7.0,-4.0
247,439,111,-101.309932474,5.09901951359,8.0622577483,446,107,7.0,-4.0
248,446,106,-35.537677792,8.60232526704,8.0,438,106,-8.0,0.0
249,453,101,-35.537677792,8.60232526704,0.0,453,101,0.0,0.0
250,458,97,-38.6598082541,6.40312423743,2.2360679775,460,96,2.0,-1.0
251,460,94,-56.309932474,3.60555127546,3.16227766017,463,93,3.0,-1.0
252,466,90,-33.690067526,7.21110255093,4.12310562562,462,91,-4.0,1.0
253,471,86,-38.6598082541,6.40312423743,1.0,472,86,1.0,0.0
254,481,80,-30.9637565321,11.6619037897,5.38516480713,476,82,-5.0,2.0
255,484,78,-33.690067526,3.60555127546,8.0622577483,491,74,7.0,-4.0
256,488,72,-56.309932474,7.21110255093,4.12310562562,487,76,-1.0,4.0
257,493,71,-11.309932474,5.09901951359,5.09901951359,492,66,-1.0,-5.0
258,499,67,-33.690067526,7.21110255093,3.16227766017,498,70,-1.0,3.0
259,507,63,-26.5650511771,8.94427191,2.0,505,63,-2.0,0.0
260,507,62,-90.0,1.0,8.54400374532,515,59,8.0,-3.0
261,514,60,-15.9453959009,7.28010988928,7.07106781187,507,61,-7.0,1.0
262,518,58,-26.5650511771,4.472135955,3.0,521,58,3.0,0.0
263,523,57,-11.309932474,5.09901951359,1.41421356237,522,56,-1.0,-1.0
264,528,55,-21.8014094864,5.38516480713,1.0,528,56,0.0,1.0
265,533,55,0.0,5.0,2.0,533,53,0.0,-2.0
266,537,58,36.8698976458,5.0,3.16227766017,538,55,1.0,-3.0
267,534,56,-146.309932474,3.60555127546,8.60232526704,541,61,7.0,5.0
268,531,56,180.0,3.0,2.0,531,54,0.0,-2.0
269,541,54,-11.309932474,10.1980390272,13.152946438,528,56,-13.0,2.0
270,538,57,135.0,4.24264068712,13.9283882772,551,52,13.0,-5.0
271,536,56,-153.434948823,2.2360679775,4.12310562562,535,60,-1.0,4.0
272,542,49,-49.398705355,9.21954445729,10.0,534,55,-8.0,6.0
273,545,51,33.690067526,3.60555127546,9.48683298051,548,42,3.0,-9.0
274,540,48,-149.036243468,5.83095189485,9.43398113206,548,53,8.0,5.0
275,540,47,-90.0,1.0,5.38516480713,535,45,-5.0,-2.0
276,538,48,153.434948823,2.2360679775,2.82842712475,540,46,2.0,-2.0
277,538,47,-90.0,1.0,2.82842712475,536,49,-2.0,2.0
278,530,45,-165.963756532,8.24621125124,8.0622577483,538,46,8.0,1.0
279,525,47,158.198590514,5.38516480713,5.0,522,43,-3.0,-4.0
280,522,45,-146.309932474,3.60555127546,4.472135955,520,49,-2.0,4.0
281,518,45,180.0,4.0,2.2360679775,519,43,1.0,-2.0
282,512,43,-161.565051177,6.32455532034,2.82842712475,514,45,2.0,2.0
283,504,47,153.434948823,8.94427191,6.32455532034,506,41,2.0,-6.0
284,500,47,180.0,4.0,5.65685424949,496,51,-4.0,4.0
285,493,49,164.054604099,7.28010988928,3.60555127546,496,47,3.0,-2.0
286,485,52,159.44395478,8.54400374532,1.41421356237,486,51,1.0,-1.0
287,479,54,161.565051177,6.32455532034,2.2360679775,477,55,-2.0,1.0
288,468,57,164.744881297,11.401754251,5.09901951359,473,56,5.0,-1.0
289,467,59,116.565051177,2.2360679775,10.0498756211,457,60,-10.0,1.0
290,460,60,171.869897646,7.07106781187,6.0827625303,466,61,6.0,1.0
291,452,64,153.434948823,8.94427191,3.16227766017,453,61,1.0,-3.0
