,x,y,angle,dist,drift
54,519,44,0.0,0.0,18.8679622641
55,523,44,0.0,4.0,4.0
56,525,48,63.4349488229,4.472135955,7.21110255093
57,527,48,0.0,2.0,8.24621125124
58,526,49,135.0,1.41421356237,5.09901951359
59,527,44,-78.690067526,5.09901951359,7.61577310586
60,525,51,105.945395901,7.28010988928,17.4642491966
61,528,49,-33.690067526,3.60555127546,17.4642491966
62,531,46,-45.0,4.24264068712,3.16227766017
63,532,44,-63.4349488229,2.2360679775,6.40312423743
64,533,41,-71.5650511771,3.16227766017,1.41421356237
65,532,41,180.0,1.0,6.7082039325
66,541,44,18.4349488229,9.48683298051,11.401754251
67,540,46,116.565051177,2.2360679775,19.4164878389
68,540,46,0.0,0.0,4.472135955
69,542,49,56.309932474,3.60555127546,3.60555127546
70,545,53,53.1301023542,5.0,2.2360679775
71,548,59,63.4349488229,6.7082039325,3.60555127546
72,546,65,108.434948823,6.32455532034,10.0
73,546,73,90.0,8.0,5.65685424949
74,546,81,90.0,8.0,8.0
75,545,92,95.1944289077,11.0453610172,5.09901951359
76,539,98,135.0,8.48528137424,16.4924225025
77,547,107,48.3664606634,12.0415945788,20.2237484162
78,546,115,97.1250163489,8.0622577483,19.7230829233
79,548,130,82.4053566314,15.1327459504,4.12310562562
80,543,130,180.0,5.0,31.3209195267
81,542,137,98.1301023542,7.07106781187,11.401754251
82,542,148,90.0,11.0,3.60555127546
83,538,150,153.434948823,4.472135955,20.3960780544
84,538,162,90.0,12.0,11.313708499
85,537,172,95.7105931375,10.0498756211,14.0356688476
86,536,178,99.462322208,6.0827625303,14.0356688476
87,535,184,99.462322208,6.0827625303,6.0827625303
88,533,188,116.565051177,4.472135955,8.0
89,531,192,116.565051177,4.472135955,4.472135955
90,526,201,119.054604099,10.295630141,1.41421356237
91,521,209,122.005383208,9.43398113206,11.1803398875
92,517,217,116.565051177,8.94427191,10.0
93,515,222,111.801409486,5.38516480713,12.5299640861
94,512,229,113.198590514,7.61577310586,3.16227766017
95,507,235,129.805571092,7.81024967591,8.0622577483
96,502,240,135.0,7.07106781187,8.60232526704
97,500,246,108.434948823,6.32455532034,8.94427191
98,496,260,105.945395901,14.5602197786,2.0
99,495,268,97.1250163489,8.0622577483,21.1896201004
100,490,274,129.805571092,7.81024967591,10.4403065089
101,487,279,120.963756532,5.83095189485,9.89949493661
102,485,285,108.434948823,6.32455532034,5.65685424949
103,484,293,97.1250163489,8.0622577483,5.0
104,481,301,110.55604522,8.54400374532,8.0622577483
105,476,308,125.537677792,8.60232526704,9.05538513814
106,475,307,-135.0,1.41421356237,17.4928556845
107,475,305,-90.0,2.0,2.0
108,476,306,45.0,1.41421356237,5.09901951359
109,475,304,-116.565051177,2.2360679775,5.0
110,475,308,90.0,4.0,8.24621125124
111,475,306,-90.0,2.0,10.0
